0,1,2
1.0,-0.349848,0.921159
1.0,-0.349848,0.907475
1.0,-0.355233,0.907475
1.0,-0.385746,0.904054
1.0,-0.383951,0.904054
1.0,-0.366002,0.904054
1.0,-0.349848,0.904054
1.0,-0.378567,0.832213
1.0,-0.385746,0.770636
1.0,-0.252922,0.702216
1.0,-0.224203,0.691953
1.0,-0.098558,0.637217
1.0,0.009138,0.579061
1.0,0.09709,0.517483
1.0,0.380689,0.325908
1.0,0.404023,0.308803
1.0,0.432742,0.247225
1.0,0.522488,0.154858
1.0,0.619414,0.052229
1.0,0.637364,-0.01277
1.0,0.72711,-0.344605
1.0,0.755829,-0.43013
1.0,0.85814,-0.693546
1.0,0.942502,-0.857753
1.0,0.944297,-0.861174
1.0,1.032248,-0.956962
1.0,1.123789,-1.05617
1.0,1.211741,-1.151958
1.0,-1.229363,0.78432
1.0,-1.247313,0.712479
1.0,-1.249108,0.664585
1.0,-1.229363,0.644059
1.0,-1.116283,0.585902
1.0,-0.708834,0.428537
1.0,-0.651396,0.421695
1.0,-0.313949,0.380643
1.0,-0.263691,0.349855
1.0,-0.062659,0.192489
1.0,-0.007016,0.154858
1.0,0.197606,0.014598
1.0,0.296327,-0.057243
1.0,0.35556,-0.105136
1.0,0.529668,-0.283028
1.0,0.545822,-0.3275
1.0,0.553002,-0.508813
1.0,0.565566,-0.601179
1.0,0.578131,-0.635389
1.0,0.655313,-0.755124
1.0,0.684032,-0.789333
1.0,0.836601,-0.953541
1.0,0.942502,-1.049328
1.0,0.99276,-1.09038
1.0,1.1202,-1.189589
1.0,1.227895,-1.275113
1.0,1.265589,-1.305902
1.0,1.290718,-1.353796
1.0,1.333796,-1.432478
1.0,1.378669,-1.514582
1.0,1.425338,-1.593265
1.0,1.427133,-1.596686
1.0,-1.803741,0.818529
1.0,-1.749893,0.767215
1.0,-1.749893,0.733005
1.0,-1.749893,0.729584
1.0,-1.726559,0.722742
1.0,-1.713994,0.705637
1.0,-1.588349,0.620112
1.0,-1.613478,0.633796
1.0,-1.749893,0.7159
1.0,-1.606299,0.630375
1.0,-1.561425,0.620112
1.0,-0.924225,0.486694
1.0,-0.902686,0.479852
1.0,-0.425235,0.336171
1.0,-0.053684,0.192489
1.0,0.332225,-0.033296
1.0,0.375304,-0.077769
1.0,0.522488,-0.300133
1.0,0.529668,-0.457498
1.0,0.549412,-0.491708
1.0,0.728905,-0.775649
1.0,0.852755,-0.953541
1.0,0.85814,-0.970646
1.0,0.897628,-1.100643
1.0,0.926347,-1.196431
1.0,0.942502,-1.254587
1.0,0.958656,-1.26485
1.0,1.107635,-1.340112
1.0,1.258409,-1.418795
1.0,1.410978,-1.497477
1.0,1.463031,-1.524845
1.0,-1.713994,0.886949
1.0,-1.678096,0.825371
1.0,-1.688865,0.818529
1.0,-1.749893,0.798004
1.0,-1.755278,0.798004
1.0,-1.783997,0.774057
1.0,-1.679891,0.654322
1.0,-1.516552,0.551693
1.0,-1.19885,0.517483
1.0,-0.960124,0.500378
1.0,-0.626267,0.414853
1.0,-0.182919,0.271172
1.0,-0.152406,0.257488
1.0,0.199401,0.175384
1.0,0.368124,0.127491
1.0,0.409407,-0.033296
1.0,0.457871,-0.22145
1.0,0.463255,-0.248818
1.0,0.493769,-0.409604
1.0,0.20658,-0.488287
1.0,0.574541,-0.690125
1.0,0.655313,-0.912489
1.0,0.673262,-0.926173
1.0,0.885064,-1.080117
1.0,1.095071,-1.196431
1.0,1.175842,-1.23064
1.0,1.209946,-1.278534
1.0,1.265589,-1.360638
1.0,1.323027,-1.442741
1.0,1.373285,-1.511161
1.0,-1.588349,0.921159
1.0,-1.588349,0.928001
1.0,-1.591939,0.92458
1.0,-1.606299,0.914317
1.0,-1.606299,0.910896
1.0,-1.611683,0.866423
1.0,-1.609888,0.698795
1.0,-1.606299,0.64748
1.0,-1.606299,0.50722
1.0,-1.514757,0.476431
1.0,-0.385746,0.527746
1.0,-0.125482,0.1617
1.0,-0.02676,0.148016
1.0,0.159912,0.048808
1.0,0.260428,-0.105136
1.0,0.308891,-0.132504
1.0,0.544027,-0.283028
1.0,0.565566,-0.296712
1.0,0.633774,-0.433551
1.0,0.655313,-0.666178
1.0,0.676852,-0.696967
1.0,0.789933,-0.857753
1.0,0.908398,-1.018539
1.0,1.034043,-1.179326
1.0,1.104045,-1.268271
1.0,-1.355008,1.297467
1.0,-1.390907,1.328256
1.0,-1.390907,1.317993
1.0,-1.390907,1.311151
1.0,-1.385522,1.311151
1.0,-1.355008,1.311151
1.0,-1.351419,1.300888
1.0,-1.31911,1.215364
1.0,-1.270647,1.153786
1.0,-0.960124,0.818529
1.0,-0.843453,0.7159
1.0,-0.376772,0.349855
1.0,-0.098558,0.165121
1.0,0.005548,0.103544
1.0,0.296327,-0.053822
1.0,0.504539,-0.283028
1.0,0.529668,-0.371973
1.0,0.554797,-0.433551
1.0,0.619414,-0.631968
1.0,0.648133,-0.693546
1.0,0.786343,-0.929594
1.0,0.888654,-1.069854
1.0,0.931732,-1.117748
1.0,1.059172,-1.244324
1.0,1.168663,-1.343533
1.0,1.211741,-1.377743
1.0,1.231485,-1.415374
1.0,1.269179,-1.480372
1.0,1.306872,-1.548792
1.0,1.346361,-1.617212
1.0,1.387644,-1.685631
1.0,1.409183,-1.719841
1.0,-0.834479,1.605356
1.0,-0.708834,1.660092
1.0,-0.759092,1.660092
1.0,-1.037306,1.65325
1.0,-1.06782,1.65325
1.0,-1.017562,1.65325
1.0,-0.834479,1.65325
1.0,-0.854223,1.65325
1.0,-0.906276,1.649829
1.0,-0.856018,1.65325
1.0,-0.744732,1.660092
1.0,-0.631652,1.612198
1.0,-0.452159,1.413781
1.0,-0.421645,1.355624
1.0,-0.385746,1.037472
1.0,-0.349848,0.657743
1.0,-0.209843,0.373801
1.0,0.066576,-0.019612
1.0,0.404023,0.120649
1.0,0.346585,-0.265923
1.0,0.565566,-0.358289
1.0,0.533258,-0.594337
1.0,0.551207,-0.888542
1.0,0.296327,-0.919331
1.0,0.648133,-1.059591
1.0,0.809677,-1.172484
1.0,0.906603,-1.206693
1.0,0.953271,-1.254587
1.0,1.044813,-1.340112
1.0,1.136354,-1.429058
1.0,1.22969,-1.518003
1.0,1.326617,-1.606949
1.0,1.337386,-1.617212
1.0,-0.906276,1.502726
1.0,-1.283211,1.509568
1.0,-1.31911,1.509568
1.0,-1.426806,1.512989
1.0,-1.423216,1.512989
1.0,-1.394497,1.512989
1.0,-1.335264,1.506147
1.0,-1.31911,1.502726
1.0,-1.06782,1.51641
1.0,-1.06423,1.519831
1.0,-0.967304,1.601935
1.0,-0.924225,1.639566
1.0,-0.845248,1.345361
1.0,-0.613702,0.719321
1.0,-0.601138,0.691953
1.0,0.045037,0.168542
1.0,0.242479,0.086439
1.0,0.429152,-0.067506
1.0,0.529668,-0.204345
1.0,0.536847,-0.241976
1.0,0.536847,-0.642231
1.0,0.493769,-0.792754
1.0,0.540437,-0.91591
1.0,0.642748,-1.073275
1.0,0.745059,-1.151958
1.0,0.764804,-1.169063
1.0,0.870704,-1.26485
1.0,0.976605,-1.357217
1.0,1.086096,-1.453004
1.0,1.104045,-1.466688
1.0,-1.193465,1.434307
1.0,-1.247313,0.360118
1.0,-1.247313,1.434307
1.0,-1.247313,1.430886
1.0,-1.206029,1.430886
1.0,-1.121668,1.434307
1.0,-1.139617,1.417202
1.0,-1.229363,1.331677
1.0,-1.170131,1.287204
1.0,-0.996022,1.160628
1.0,-0.870377,0.979316
1.0,-0.500622,0.531167
1.0,-0.349848,0.366959
1.0,-0.089583,0.257488
1.0,0.260428,0.171963
1.0,0.307096,0.059071
1.0,0.569156,-0.146188
1.0,0.558387,-0.324079
1.0,0.619414,-0.385657
1.0,0.619414,-0.63881
1.0,0.619414,-0.844069
1.0,0.648133,-0.885121
1.0,0.802497,-1.052749
1.0,0.9784,-1.175905
1.0,1.014299,-1.19301
1.0,1.066352,-1.26485
1.0,1.132764,-1.357217
1.0,1.200971,-1.446162
1.0,1.270974,-1.535108
1.0,1.301488,-1.57616
1.0,-1.355008,1.331677
1.0,-1.426806,1.304309
1.0,-1.426806,1.300888
1.0,-1.426806,1.290625
1.0,-1.430395,1.290625
1.0,-1.460909,1.290625
1.0,-1.480653,1.290625
1.0,-1.414241,1.283783
1.0,-1.355008,1.276941
1.0,-1.45014,1.198259
1.0,-1.480653,1.170891
1.0,-1.254492,1.030631
1.0,-0.924225,0.873265
1.0,-0.875762,0.82195
1.0,-0.629857,0.57564
1.0,-0.511391,0.462747
1.0,0.054011,0.308803
1.0,0.565566,0.233541
1.0,0.567361,0.199331
1.0,0.578131,0.035124
1.0,0.583516,-0.050401
1.0,0.709161,-0.279607
1.0,0.888654,-0.53618
1.0,0.895833,-0.560127
1.0,0.953271,-0.796175
1.0,0.9784,-0.998013
1.0,0.9784,-1.05617
1.0,1.010709,-1.121169
1.0,1.060967,-1.223798
1.0,1.11302,-1.323007
1.0,1.166868,-1.422216
1.0,1.211741,-1.500898
1.0,-1.552451,1.263257
1.0,-1.426806,1.263257
1.0,-1.421421,1.263257
1.0,-1.394497,1.263257
1.0,-1.390907,1.263257
1.0,-1.480653,1.270099
1.0,-1.588349,1.27352
1.0,-1.554246,1.259836
1.0,-1.444755,1.23589
1.0,-1.30475,1.229048
1.0,-1.229363,1.218785
1.0,-1.170131,1.136681
1.0,-1.06782,0.965632
1.0,-1.035511,0.941685
1.0,-0.597548,0.657743
1.0,-0.260101,0.466168
1.0,0.127604,0.291698
1.0,0.457871,0.1617
1.0,0.47223,0.151437
1.0,0.644543,-0.009349
1.0,0.691211,-0.088031
1.0,0.815062,-0.300133
1.0,0.888654,-0.515655
1.0,0.890449,-0.563548
1.0,0.888654,-0.796175
1.0,0.890449,-0.994592
1.0,0.888654,-1.028802
1.0,0.990965,-1.114327
1.0,1.118405,-1.220377
1.0,1.251229,-1.326428
1.0,1.384054,-1.429058
1.0,1.409183,-1.449583
1.0,-1.229363,1.229048
1.0,-1.31911,1.222206
1.0,-1.32629,1.222206
1.0,-1.383727,1.225627
1.0,-1.390907,1.225627
1.0,-1.390907,1.229048
1.0,-1.416036,1.211943
1.0,-1.380137,1.211943
1.0,-1.121668,1.259836
1.0,-0.983458,1.116155
1.0,-0.626267,0.678269
